Name,NACA 0012 Airfoil M=0.0% P=0.0% T=12.0%
Chord(mm),1000
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
1000.000000,0.000000
999.753000,0.036000
999.013000,0.143000
997.781000,0.322000
996.057000,0.572000
993.844000,0.891000
991.144000,1.280000
987.958000,1.737000
984.292000,2.260000
980.147000,2.849000
975.528000,3.501000
970.440000,4.216000
964.888000,4.990000
958.877000,5.822000
952.414000,6.710000
945.503000,7.651000
938.153000,8.643000
930.371000,9.684000
922.164000,10.770000
913.540000,11.900000
904.508000,13.071000
895.078000,14.280000
885.257000,15.523000
875.056000,16.800000
864.484000,18.106000
853.553000,19.438000
842.274000,20.795000
830.656000,22.173000
818.712000,23.569000
806.454000,24.981000
793.893000,26.405000
781.042000,27.838000
767.913000,29.279000
754.521000,30.723000
740.877000,32.168000
726.995000,33.610000
712.890000,35.048000
698.574000,36.478000
684.062000,37.896000
669.369000,39.300000
654.508000,40.686000
639.496000,42.052000
624.345000,43.394000
609.072000,44.708000
593.691000,45.992000
578.217000,47.242000
562.667000,48.455000
547.054000,49.626000
531.395000,50.754000
515.705000,51.833000
500.000000,52.862000
484.295000,53.835000
468.605000,54.749000
452.946000,55.602000
437.333000,56.390000
421.783000,57.108000
406.309000,57.755000
390.928000,58.326000
375.655000,58.819000
360.504000,59.230000
345.492000,59.557000
330.631000,59.797000
315.938000,59.947000
301.426000,60.006000
287.110000,59.971000
273.005000,59.841000
259.123000,59.614000
245.479000,59.288000
232.087000,58.863000
218.958000,58.338000
206.107000,57.712000
193.546000,56.986000
181.288000,56.159000
169.344000,55.232000
157.726000,54.206000
146.447000,53.083000
135.516000,51.862000
124.944000,50.546000
114.743000,49.138000
104.922000,47.638000
95.492000,46.049000
86.460000,44.374000
77.836000,42.615000
69.629000,40.776000
61.847000,38.859000
54.497000,36.867000
47.586000,34.803000
41.123000,32.671000
35.112000,30.473000
29.560000,28.213000
24.472000,25.893000
19.853000,23.517000
15.708000,21.088000
12.042000,18.607000
8.856000,16.078000
6.156000,13.503000
3.943000,10.884000
2.219000,8.223000
0.987000,5.521000
0.247000,2.779000
0.000000,0.000000
0.247000,-2.779000
0.987000,-5.521000
2.219000,-8.223000
3.943000,-10.884000
6.156000,-13.503000
8.856000,-16.078000
12.042000,-18.607000
15.708000,-21.088000
19.853000,-23.517000
24.472000,-25.893000
29.560000,-28.213000
35.112000,-30.473000
41.123000,-32.671000
47.586000,-34.803000
54.497000,-36.867000
61.847000,-38.859000
69.629000,-40.776000
77.836000,-42.615000
86.460000,-44.374000
95.492000,-46.049000
104.922000,-47.638000
114.743000,-49.138000
124.944000,-50.546000
135.516000,-51.862000
146.447000,-53.083000
157.726000,-54.206000
169.344000,-55.232000
181.288000,-56.159000
193.546000,-56.986000
206.107000,-57.712000
218.958000,-58.338000
232.087000,-58.863000
245.479000,-59.288000
259.123000,-59.614000
273.005000,-59.841000
287.110000,-59.971000
301.426000,-60.006000
315.938000,-59.947000
330.631000,-59.797000
345.492000,-59.557000
360.504000,-59.230000
375.655000,-58.819000
390.928000,-58.326000
406.309000,-57.755000
421.783000,-57.108000
437.333000,-56.390000
452.946000,-55.602000
468.605000,-54.749000
484.295000,-53.835000
500.000000,-52.862000
515.705000,-51.833000
531.395000,-50.754000
547.054000,-49.626000
562.667000,-48.455000
578.217000,-47.242000
593.691000,-45.992000
609.072000,-44.708000
624.345000,-43.394000
639.496000,-42.052000
654.508000,-40.686000
669.369000,-39.300000
684.062000,-37.896000
698.574000,-36.478000
712.890000,-35.048000
726.995000,-33.610000
740.877000,-32.168000
754.521000,-30.723000
767.913000,-29.279000
781.042000,-27.838000
793.893000,-26.405000
806.454000,-24.981000
818.712000,-23.569000
830.656000,-22.173000
842.274000,-20.795000
853.553000,-19.438000
864.484000,-18.106000
875.056000,-16.800000
885.257000,-15.523000
895.078000,-14.280000
904.508000,-13.071000
913.540000,-11.900000
922.164000,-10.770000
930.371000,-9.684000
938.153000,-8.643000
945.503000,-7.651000
952.414000,-6.710000
958.877000,-5.822000
964.888000,-4.990000
970.440000,-4.216000
975.528000,-3.501000
980.147000,-2.849000
984.292000,-2.260000
987.958000,-1.737000
991.144000,-1.280000
993.844000,-0.891000
996.057000,-0.572000
997.781000,-0.322000
999.013000,-0.143000
999.753000,-0.036000
1000.000000,0.000000
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
0.247000,0.000000
0.987000,0.000000
2.219000,0.000000
3.943000,0.000000
6.156000,0.000000
8.856000,0.000000
12.042000,0.000000
15.708000,0.000000
19.853000,0.000000
24.472000,0.000000
29.560000,0.000000
35.112000,0.000000
41.123000,0.000000
47.586000,0.000000
54.497000,0.000000
61.847000,0.000000
69.629000,0.000000
77.836000,0.000000
86.460000,0.000000
95.492000,0.000000
104.922000,0.000000
114.743000,0.000000
124.944000,0.000000
135.516000,0.000000
146.447000,0.000000
157.726000,0.000000
169.344000,0.000000
181.288000,0.000000
193.546000,0.000000
206.107000,0.000000
218.958000,0.000000
232.087000,0.000000
245.479000,0.000000
259.123000,0.000000
273.005000,0.000000
287.110000,0.000000
301.426000,0.000000
315.938000,0.000000
330.631000,0.000000
345.492000,0.000000
360.504000,0.000000
375.655000,0.000000
390.928000,0.000000
406.309000,0.000000
421.783000,0.000000
437.333000,0.000000
452.946000,0.000000
468.605000,0.000000
484.295000,0.000000
500.000000,0.000000
515.705000,0.000000
531.395000,0.000000
547.054000,0.000000
562.667000,0.000000
578.217000,0.000000
593.691000,0.000000
609.072000,0.000000
624.345000,0.000000
639.496000,0.000000
654.508000,0.000000
669.369000,0.000000
684.062000,0.000000
698.574000,0.000000
712.890000,0.000000
726.995000,0.000000
740.877000,0.000000
754.521000,0.000000
767.913000,0.000000
781.042000,0.000000
793.893000,0.000000
806.454000,0.000000
818.712000,0.000000
830.656000,0.000000
842.274000,0.000000
853.553000,0.000000
864.484000,0.000000
875.056000,0.000000
885.257000,0.000000
895.078000,0.000000
904.508000,0.000000
913.540000,0.000000
922.164000,0.000000
930.371000,0.000000
938.153000,0.000000
945.503000,0.000000
952.414000,0.000000
958.877000,0.000000
964.888000,0.000000
970.440000,0.000000
975.528000,0.000000
980.147000,0.000000
984.292000,0.000000
987.958000,0.000000
991.144000,0.000000
993.844000,0.000000
996.057000,0.000000
997.781000,0.000000
999.013000,0.000000
999.753000,0.000000
1000.000000,0.000000
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
1000.000000,0.000000
